clinic_name,category,rating_band,address,phone,specialty,google_place_name,google_rating,google_review_count,open_in_google_maps,latitude,longitude,match_status,review_priority,match_confidence,postal_code,google_postal_code,google_formatted_address,match_notes
ISLAND FAMILY CLINIC & ENDOSCOPY CENTRE,Specialist,<4.0 / no rating,338 ANCHORVALE CRESCENT #01-08 SINGAPORE 530338,62810142,GENERAL SURGERY,Island Family Clinic (Anchorvale),3.9,52,https://maps.google.com/?cid=13046477726588040999&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1.3990263,103.8898073,needs_review,high,0.46,530338,540338,"338 Anchorvale Cres, #01-02, Singapore 540338",postal code differs; clinic name differs; address closely matches
IN SURGERY (FARRER PARK),Specialist,<4.0 / no rating,1 FARRER PARK STATION ROAD #08-11 FARRER PARK MEDICAL CENTRE SINGAPORE 217562,67870078,GENERAL SURGERY,IN Surgery - Dr Imran Nawaz,3.4,22,https://maps.google.com/?cid=2652677853386807313&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1.312316,103.85428499999999,address_only,medium,0.743,217562,217562,"Farrer Park Station Rd, #08-11 Farrer Park Medical Centre, Singapore 217562",postal code matches; clinic name differs; address closely matches
ICON CANCER CENTRE GLENEAGLES,Specialist,<4.0 / no rating,6 NAPIER ROAD #05-11/12 & 18/19 GLENEAGLES MEDICAL CENTRE SINGAPORE 258499,64713373,ONCOLOGY,Icon Cancer Centre Gleneagles,3,3,https://maps.google.com/?cid=7327125305473387253&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1.307134,103.820138,matched,low,1.0,258499,258499,"6 Napier Rd, #05-11/12 Gleneagles Medical Centre, Singapore 258499",postal code matches; clinic name closely matches; address closely matches
ICON CANCER CENTRE MOUNT ELIZABETH,Specialist,<4.0 / no rating,3 MOUNT ELIZABETH #17-03/04 MOUNT ELIZABETH MEDICAL CENTRE SINGAPORE 228510,67378000/6235 9383,ONCOLOGY,Icon Cancer Centre Mount Elizabeth,2.3,3,https://maps.google.com/?cid=58696403316110150&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1.3057189,103.8357928,matched,low,1.0,228510,228510,"3 Mount Elizabeth, #17-01, 03/04 Medical Centre, Singapore 228510",postal code matches; clinic name closely matches; address closely matches
ICON CANCER CENTRE ORCHARD,Specialist,<4.0 / no rating,3 MOUNT ELIZABETH #13-09/10 MOUNT ELIZABETH MEDICAL CENTRE SINGAPORE 228510,62359383,ONCOLOGY,Icon Cancer Centre Orchard,1,2,https://maps.google.com/?cid=2758857497879296358&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1.3055915,103.8354837,matched,low,1.0,228510,228510,"3 Mount Elizabeth, #13-09/10 Medical Centre, Singapore 228510",postal code matches; clinic name closely matches; address closely matches
INTERNATIONAL ORTHOPAEDIC CLINIC,Specialist,<4.0 / no rating,1 FARRER PARK STATION ROAD #08-20 CONNEXION SINGAPORE 217562,62587111,ORTHOPAEDIC,International Orthopaedic Clinic (IOC) - Farrer Park,,,https://maps.google.com/?cid=15468078109575234438&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1.3121616999999999,103.8540179,matched,low,0.887,217562,217562,"Farrer Park Hospital, Farrer Park Station Rd, #08-20 Connexion, Singapore 217562",postal code matches; clinic name partially matches; address closely matches
JOY CLINIC FOR WOMEN,Specialist,<4.0 / no rating,1 KIM SENG PROMENADE GREAT WORLD CITY #01-32 SINGAPORE 237994,67370044,OBSTETRICS & GYNAECOLOGY,Joy Clinic For Women,2.7,7,https://maps.google.com/?cid=982282460436982260&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1.3075200000000002,103.82034999999999,needs_review,high,0.608,237994,258499,"Gleneagles Medical Center, #08-03, 6 Napier Rd, Singapore 258499",postal code differs; clinic name closely matches; address differs
JOANNA LIN'S MEDICAL AND CANCER CLINIC,Specialist,<4.0 / no rating,6 NAPIER ROAD #03-07 GLENEAGLES MEDICAL CENTRE SINGAPORE 258499,68387388,ONCOLOGY,Joanna Lin's Medical & Cancer Clinic,,,https://maps.google.com/?cid=4110891934526092018&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1.3075200000000002,103.82034999999999,matched,low,0.829,258499,258499,"6 Napier Rd, Singapore 258499",postal code matches; clinic name closely matches; address partially matches
K C CHING CLINIC & SURGERY FOR WOMEN,Specialist,<4.0 / no rating,12 Farrer Park Station Road Level 9 StarMed Specialist Centre Singapore 217565,67343455/ 63546238,OBSTETRICS & GYNAECOLOGY,K C Ching Clinic & Surgery For Women Pte Ltd,3.3,8,https://maps.google.com/?cid=725064504876124180&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1.3050493,103.8354284,needs_review,high,0.529,217565,228510,"3 Mount Elizabeth, Singapore 228510",postal code differs; clinic name closely matches; address differs
KIDS CLINIC @ SENGKANG,Specialist,<4.0 / no rating,70 COMPASSVALE BOW #02-14 SENGKANG GRAND MALL SINGAPORE 544692,68178883,PAEDIATRICS,Kids Clinic @ Sengkang,3.9,138,https://maps.google.com/?cid=14185371339619648284&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1.3818605,103.8927256,matched,low,1.0,544692,544692,"70 Compassvale Bow, #02-14 Sengkang Grand Mall, Singapore 544692",postal code matches; clinic name closely matches; address closely matches
KIDNEYCARE CENTRE,Specialist,<4.0 / no rating,38 IRRAWADDY ROAD #06-32 MOUNT ELIZABETH NOVENA SPECIALIST CENTRE SINGAPORE 329563,6694 0640,RENAL MEDICINE,Kidneycare Centre,,,https://maps.google.com/?cid=6430749939338364574&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1.3080028,103.83543089999999,matched,low,0.959,329563,329563,"32 Mount Elizabeth, Singapore 329563",postal code matches; clinic name closely matches; address partially matches
KYM SURGERY @ ORCHARD,Specialist,<4.0 / no rating,3 MT ELIZABETH #12-01 MT ELIZABETH MEDICAL CENTRE SINGAPORE 228510,69081712,GENERAL SURGERY,"KYM Surgery @ Orchard - Upper Gastrointestinal, Oesophageal Cancer, Bariatric, Surgical Oncology and General Surgery",,,https://maps.google.com/?cid=3781768999810945200&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1.3055915,103.8354837,address_only,medium,0.536,228510,228510,"Mt Elizabeth Medical Centre, 3 Mount Elizabeth, #12-01, Singapore 228510",postal code matches; clinic name differs; address partially matches
